Jabatan,Kode Unit,Judul Unit,Elemen Kompetensi,Kriteria Unjuk Kerja (KUK),,,,,
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan verifikasi atau rekonsiliasi data akun,3.1 Kegiatan verifikasi atau rekonsiliasi data akun dilaksanakan. 3.2 Selisih antara data buku dan data hasil verifikasi atau rekonsiliasi diidentifikasi. 3.3 Laporan/berita acara verifikasi atau rekonsiliasi data akun dibuat sesuai dengan kebijakan dan prosedur perusahaan. 3.4 Laporan/berita acara verifikasi atau rekonsiliasi data akun dianalisis sesuai ketentuan. ,,,,,
Teknisi Akuntansi,M.69PTA00.003.3,Memproses Buku Besar,Mempersiapkan pengelolaan buku besar,"1.1 Peralatan, perlengkapan dan format kertas kerja yang dibutuhkan untuk pengelolaan buku besar disediakan. 1.2 Dokumen sumber dan rekapitulasi jurnal diidentifikasi. ",,,,,
Teknisi Akuntansi,M.69PTA00.003.3,Memproses Buku Besar,Membukukan jumlah angka dari jurnal ke buku besar,2.1 Akun-akun dalam buku besar diidentifikasi. 2.2 Jumlah yang ada dalam rekapitulasi jurnal dibukukan sesuai ketentuan. ,,,,,
Teknisi Akuntansi,M.69PTA00.003.3,Memproses Buku Besar,Menyusun daftar saldo akun dalam buku besar,3.1 Daftar saldo akun dalam buku besar disajikan sesuai ketentuan. 3.2 Saldo akun dalam buku besar dipastikan kebenarannya. ,,,,,
Teknisi Akuntansi,M.69PTA00.004.3,Menyusun Laporan Keuangan Entitas Tunggal untuk Skala UMKM,Mencatat jurnal penyesuaian,1.1 Dokumen sumber penyesuaian diidentifikasi. 1.2 Akun-akun yang memerlukan penyesuaian diidentifikasi. 1.3 Jurnal penyesuaian dicatat sesuai ketentuan. ,,,,,
Teknisi Akuntansi,M.69PTA00.004.3,Menyusun Laporan Keuangan Entitas Tunggal untuk Skala UMKM,Menyajikan laporan keuangan,5.1 Laporan posisi keuangan pada akhir periode disajikan sesuai standar yang berlaku. 5.2 Laporan laba rugi selama periode disajikan sesuai standar yang berlaku. 5.3 Catatan atas laporan keuangan disajikan sesuai standar yang berlaku. ,,,,,
Teknisi Akuntansi,M.69PTA00.005.3,Menyusun Laporan Keuangan UMKM dengan Aplikasi Komputer,Menyusun data setup awal dan saldo awal,2.1 Daftar akun disusun dan saldo awal akun dientri. 2.2 Kode pajak disiapkan sesuai ketentuan. 2.3 Data-data pengelolaan akun dalam laporan keuangan dientri. ,,,,,
Teknisi Akuntansi,M.69PTA00.005.3,Menyusun Laporan Keuangan UMKM dengan Aplikasi Komputer,Melakukan entri transaksi,3.1 Transaksi yang akan dientri diidentifikasi. 3.2 Transaksi dientri dengan menggunakan menu yang tepat. 3.3 Penyesuaian data dientri. ,,,,,
Teknisi Akuntansi,M.69PTA00.006.1,Menyusun Laporan Keuangan Entitas Tunggal Keseluruhan Skala Usaha,Menyajikan laporan keuangan,5.1 Laporan posisi keuangan per tanggal pelaporan disajikan. 5.2 Laporan penghasilan komprehensif disajikan. 5.3 Laporan perubahan ekuitas disajikan. 5.4 Laporan arus kas disajikan. 5.5 Catatan atas laporan keuangan disajikan. ,,,,,
Teknisi Akuntansi,M.69PTA00.016.1,Memberikan Dukungan Penilaian Risiko,Memberikan dukungan teknis administrasi dokumen pra-perikatan,1.1 Surat perikatan disiapkan sesuai ketentuan. 1.2 Surat tugas disiapkan sesuai ketentuan. 1.3 Pernyataan independensi disiapkan sesuai ketentuan. ,,,,,
Teknisi Akuntansi,M.69PTA00.016.1,Memberikan Dukungan Penilaian Risiko,Melakukan prosedur analitis awal,2.1 Pemahaman entitas dan lingkungan termasuk pengendalian internal didokumentasikan. 2.2 Prosedur analitis awal disajikan sesuai standar yang berlaku. 2.3 Pekerjaan sendiri dan pekerjaan orang lain ditelaah sesuai ketentuan. ,,,,,
Teknisi Akuntansi,M.69PTA00.013.1,Melakukan Pemenuhan Pajak Orang Pribadi,Menyiapkan data perpajakan,1.1 Dokumen pendukung pajak diidentifikasi. 1.2 Perhitungan pajak terutang dilakukan sesuai regulasi. 1.3 Draft SPT disiapkan sesuai ketentuan. ,,,,,
Teknisi Akuntansi,M.69PTA00.018.1,Dukungan Penyusunan Laporan Auditor Independen,Menyiapkan administrasi laporan,1.1 Draft laporan auditor disiapkan. 1.2 Dokumen pendukung opini dikompilasi. 1.3 Administrasi finalisasi laporan diselesaikan sesuai prosedur. ,,,,,
Game Designer,J.62GIM00.001.2,Membuat Ide Konsep Game (Game Concept),Menentukan bentuk produk game,1.1 Visi game diidentifikasi. 1.2 Target audiens ditentukan. 1.3 Platform tujuan ditetapkan. 1.4 Genre dan mekanisme inti diidentifikasi.,,,,,
Game Designer,J.62GIM00.011.2,Membuat Desain Teknik Game (Game Technical Design),Menerjemahkan konsep desain teknik game,"1.1 Bentuk game, serta fitur dan mekanika dibuat berdasarkan konsep teknik game. 1.2 Desain teknik game dibuat sesuai tujuan dari konsep teknik game.",,,,,
Game Designer,J.62GIM00.011.2,Membuat Desain Teknik Game (Game Technical Design),Melakukan uji coba dan pengukuran kesuksesan,2.1 Desain teknis diuji coba dalam purwarupa atau produk game sesuai konsep. 2.2 Desain teknik game diukur tingkat kesuksesannya.,,,,,
Game Designer,J.62GIM00.013.2,Membuat Desain Narasi Game (Game Narrative Design),Membuat komponen desain narasi game,"1.1 Tujuan dan pengukuran kesuksesan tema, cerita, dan setting diidentifikasi. 1.2 Tema, cerita, dan setting dibuat sinkron dengan konsep narasi game.",,,,,
Game Artist,J.62GIM00.020.2,Membuat Dokumen Perancangan Artistik (ADD),Menentukan konsep artistik utama,1.1 Referensi visual dikumpulkan. 1.2 Gaya visual ditetapkan (art style). 1.3 Palet warna dan atmosfer lingkungan ditentukan.,,,,,
Game Artist,J.62GIM00.033.2,Melakukan Integrasi Objek Statis ke Game Engine,Mempersiapkan aset statis,1.1 Aset statis diperiksa kelengkapannya. 1.2 Format file dipastikan sesuai dengan kebutuhan engine.,,,,,
Game Programmer,J.62GIM00.041.1,Menerapkan Standar Kualitas Pemrograman Game,Mengimplementasikan standar kualitas,1.1 Standar kualitas pemrograman diidentifikasi berdasarkan pedoman. 1.2 Kode pemrograman dibuat sesuai pedoman implementasi standar.,,,,,
Game Programmer,J.62GIM00.041.1,Menerapkan Standar Kualitas Pemrograman Game,Mendokumentasikan hasil penerapan standar,2.1 Kode pemrograman ditinjau berdasarkan pedoman teknis. 2.2 Hasil tinjauan kode didokumentasikan.,,,,,
Game Programmer,J.62GIM00.044.1,Mengimplementasikan User Interface,Menyiapkan aset UI,1.1 Aset visual UI diidentifikasi sesuai GDD. 1.2 Kebutuhan teknis implementasi UI dipetakan.,,,,,
Game Programmer,J.62GIM00.045.1,Mengintegrasikan Backend Service,Menghubungkan game ke server,1.1 API backend diidentifikasi. 1.2 Autentikasi pengguna diimplementasikan. 1.3 Sinkronisasi data pemain dilakukan.,,,,,
Game Programmer,J.62GIM00.046.2,Melakukan Proses Game Debugging,Mengidentifikasi bug,1.1 Error/crash log dianalisis. 1.2 Langkah-langkah reproduksi bug didokumentasikan. 1.3 Skala prioritas perbaikan bug ditentukan.,,,,,
Game Programmer,J.62GIM00.047.2,Mengimplementasikan Optimasi Kinerja Game,Melakukan profiling kinerja,1.1 Penggunaan memori dan CPU dipantau. 1.2 Titik hambat (bottleneck) kinerja diidentifikasi.,,,,,
Quality Assurance,J.62GIM00.048.1,Menganalisis Kualitas Teknis Game,Melakukan pengujian teknis,1.1 Skenario pengujian disusun. 1.2 Pengujian fungsionalitas fitur dilakukan secara menyeluruh.,,,,,
Technical Lead,J.62GIM00.049.1,Menganalisis Risiko Teknis Game,Mengidentifikasi potensi risiko teknis,1.1 Keterbatasan platform dianalisis. 1.2 Risiko integrasi teknologi pihak ketiga dipetakan.,,,,,
LiveOps/DevOps,J.62GIM00.050.1,Melakukan Pembaharuan Video Game,Menyiapkan konten pembaruan,1.1 Konten baru atau perbaikan bug dikompilasi. 1.2 Versi aplikasi (versioning) dikelola sesuai prosedur.,,,,,
Product Manager,J.62GIM00.051.2,Melakukan Analisis Pasar (Market Research),Mengidentifikasi tren pasar,1.1 Data kompetitor sejenis dianalisis. 1.2 Potensi monetisasi diidentifikasi berdasarkan perilaku pasar.,,,,,
Product Manager,J.62GIM00.052.2,Membuat Perencanaan Bisnis,Menyusun model bisnis,1.1 Proyeksi pendapatan dibuat. 1.2 Strategi pemasaran dan distribusi direncanakan.,,,,,
Product Manager,J.62GIM00.054.2,Menuliskan Spesifikasi atau User Story,Mendetailkan fitur game,1.1 Deskripsi fitur ditulis dalam format user story. 1.2 Kriteria keberimaan (acceptance criteria) ditetapkan untuk setiap fitur.,,,,,
Product Manager,J.62GIM00.059.2,Melakukan Analisis Data Performa Bisnis,Menganalisis data metrik,1.1 Data retensi pemain diolah. 1.2 Hipotesis atau rekomendasi untuk meningkatkan objektif bisnis dibuat secara tepat.,,,,,
Game Director,J.62GIM00.060.2,Mengarahkan Visi dan Identitas Game,Menyusun visi dan identitas,1.1 Visi game dibuat berdasarkan visi perusahaan/peluang pasar. 1.2 Identitas video game (pilar utama) dibuat berdasarkan visi tersebut.,,,,,
Game Artist,J.62GIM00.021.2,Membuat Konsep Seni (Concept Art),Menentukan komponen konsep seni,1.1 Referensi visual dikumpulkan. 1.2 Sketsa kasar dibuat sesuai arahan. 1.3 Variasi desain elemen (karakter/lingkungan) dibuat.,,,,,
Game Artist,J.62GIM00.022.2,Membuat Aset Visual 2D,Mempersiapkan pembuatan aset 2D,1.1 Spesifikasi teknis aset diidentifikasi. 1.2 Sketsa dasar aset 2D dibuat. 1.3 Pewarnaan dan detail diselesaikan.,,,,,
Game Artist,J.62GIM00.023.2,Membuat Model Objek 3D,Membangun geometri objek 3D,1.1 Topologi mesh dibuat efisien. 1.2 Proporsi model disesuaikan referensi. 1.3 Teknik modeling diterapkan sesuai engine.,,,,,
Game Artist,J.62GIM00.024.2,Membuat Tekstur Objek 3D,Melakukan pemetaan UV (Unwrap),1.1 Koordinat UV diatur tanpa distorsi. 1.2 Material PBR diaplikasikan. 1.3 Texture map diekspor sesuai standar.,,,,,
Game Artist,J.62GIM00.025.2,Membuat Sistem Tulang (Rigging),Menentukan struktur tulang,1.1 Hierarki joint/bone dibuat. 1.2 Kontroler animasi dipasang. 1.3 Weight painting dilakukan dengan halus.,,,,,
Game Artist,J.62GIM00.026.2,Membuat Animasi Objek,Menggerakkan objek/karakter,1.1 Keyframe diatur sesuai durasi. 1.2 Prinsip animasi diterapkan. 1.3 Loop animasi dipastikan mulus.,,,,,
Game Artist,J.62GIM00.027.2,Membuat Efek Visual (VFX),Merancang sistem partikel,1.1 Emisi dan durasi partikel diatur. 1.2 Shader efek dibuat. 1.3 Efek diselaraskan dengan gameplay.,,,,,
Game Artist,J.62GIM00.028.2,Membuat Desain Antarmuka (UI),Merancang tata letak UI,1.1 Wireframe antarmuka dibuat. 1.2 Aset visual (ikon/tombol) didesain. 1.3 Navigasi dipastikan user-friendly.,,,,,
Game Artist,J.62GIM00.029.2,Membuat Level Environment,Menyusun komposisi level,1.1 Aset diletakkan sesuai layout. 1.2 Pencahayaan (lighting) diatur. 1.3 Navigasi lingkungan diuji coba.,,,,,
Game Artist,J.62GIM00.030.2,Membuat Desain Audio Game,Memproduksi aset suara,1.1 SFX dan BGM direkam/diedit. 1.2 Format file audio disesuaikan. 1.3 Kualitas audio diperiksa.,,,,,
Programmer,J.62GIM00.034.2,Melakukan Integrasi Animasi,Mengatur Animation State Machine,1.1 Klip animasi diimpor ke engine. 1.2 Transisi antar animasi diatur. 1.3 Logika pemicu (trigger) dihubungkan ke kode.,,,,,
Programmer,J.62GIM00.035.2,Melakukan Integrasi Audio,Mengimplementasikan audio engine,1.1 Audio listener ditempatkan. 1.2 Sound mixer diatur volumenya. 1.3 Pemicu suara dipasang pada event game.,,,,,
Programmer,J.62GIM00.036.2,Melakukan Integrasi UI,Membangun fungsionalitas menu,1.1 Canvas UI diatur skalanya. 1.2 Event klik tombol dihubungkan ke fungsi. 1.3 Data game ditampilkan ke layar (HUD).,,,,,
Programmer,J.62GIM00.038.2,Mengimplementasikan AI,Membangun perilaku NPC,1.1 Logika pengambilan keputusan dibuat. 1.2 Pathfinding (NavMesh) diimplementasikan. 1.3 AI diuji pada berbagai skenario.,,,,,
Programmer,J.62GIM00.039.2,Mengimplementasikan Multiplayer,Membangun sinkronisasi data,1.1 Arsitektur jaringan ditentukan. 1.2 Sinkronisasi posisi pemain dilakukan. 1.3 Latency (ping) dikelola.,,,,,
Programmer,J.62GIM00.040.2,Mengimplementasikan Monetisasi,Integrasi layanan IAP,1.1 Katalog produk toko disiapkan. 1.2 Proses transaksi dihubungkan ke API. 1.3 Validasi pembelian dilakukan.,,,,,
Programmer,J.62GIM00.042.1,Membuat Struktur Data,Memilih tipe data yang efisien,1.1 Struktur data dipilih sesuai kebutuhan. 1.2 Algoritma logika game dioptimasi. 1.3 Penggunaan memori dipantau.,,,,,
Programmer,J.62GIM00.043.1,Menerapkan Mekanika Game,Membangun sistem interaksi,1.1 Logika input (kendali) dibuat. 1.2 Sistem collision (tabrakan) diterapkan. 1.3 Aturan mekanika diimplementasikan.,,,,,
Programmer,J.62GIM00.046.2,Melakukan Debugging,Mengidentifikasi kesalahan kode,1.1 Error log dianalisis. 1.2 Langkah reproduksi bug ditemukan. 1.3 Perbaikan kode dilakukan dan divalidasi.,,,,,
Programmer,J.62GIM00.047.2,Mengimplementasikan Optimasi,Melakukan profiling kinerja,1.1 Bottleneck pada GPU/CPU dideteksi. 1.2 Draw calls dikurangi. 1.3 Load balancing dilakukan.,,,,,
Game Designer,J.62GIM00.002.2,Membuat Mekanika Game,Menentukan aturan permainan,1.1 Sistem tantangan didefinisikan. 1.2 Mekanisme reward ditentukan. 1.3 Parameter balancing awal dibuat.,,,,,
Game Designer,J.62GIM00.003.2,Membuat Desain Level,Merancang alur permainan,1.1 Flowchart level dibuat. 1.2 Penempatan rintangan dipetakan. 1.3 Pacing (ritme) level ditentukan.,,,,,
Game Designer,J.62GIM00.004.2,Membuat Sistem Ekonomi Game,Merancang struktur ekonomi,1.1 Sumber pendapatan pemain diatur. 1.2 Pengeluaran (sink) dirancang. 1.3 Inflasi dalam game dihindari.,,,,,
QA Tester,J.62GIM00.055.1,Membuat Rencana Pengujian,Menyusun strategi QA,1.1 Cakupan fitur ditentukan. 1.2 Jadwal testing dibuat. 1.3 Metodologi pengujian dipilih.,,,,,
QA Tester,J.62GIM00.056.1,Melakukan Pengujian Fungsional,Mengeksekusi test case,1.1 Skenario uji dijalankan. 1.2 Temuan penyimpangan dicatat. 1.3 Laporan bug dikirim ke tim dev.,,,,,
Project Manager,J.62GIM00.053.1,Mengelola Jadwal Produksi,Membuat timeline proyek,1.1 Milestone produksi ditetapkan. 1.2 Deadline tiap sprint ditentukan. 1.3 Progress kerja dipantau berkala.,,,,,
Project Manager,J.62GIM00.058.1,Mengelola Tim Pengembang,Melakukan koordinasi tim,1.1 Tugas didistribusikan ke anggota. 1.2 Konflik dalam tim diselesaikan. 1.3 Rapat sinkronisasi (daily standup) dilakukan.,,,,,
Product Manager,J.62GIM00.054.2,Menuliskan Spesifikasi,Membuat User Story,1.1 Kebutuhan fitur dijabarkan. 1.2 Acceptance criteria ditentukan. 1.3 Prioritas backlog diatur.,,,,,
Technical Lead,J.62GIM00.049.1,Menganalisis Risiko Teknis,Pemetaan potensi kendala,1.1 Limitasi hardware dianalisis. 1.2 Risiko pihak ketiga (plugin) dievaluasi. 1.3 Rencana mitigasi risiko dibuat.,,,,,
Community Manager,J.62GIM00.061.1,Mengelola Komunitas,Membangun keterlibatan pemain,1.1 Feedback pemain dikumpulkan. 1.2 Pengumuman update dipublikasikan. 1.3 Moderator komunitas dikelola.,,,,,
Operasional Logistik,H.52LOG00.001.2,Menyusun Rencana Operasional Logistik,Mengidentifikasi kebutuhan operasional logistik,1.1 Data permintaan pelanggan dikumpulkan. 1.2 Kapasitas sumber daya internal diidentifikasi. 1.3 Kendala operasional dipetakan.,,,,,
Operasional Logistik,H.52LOG00.001.2,Menyusun Rencana Operasional Logistik,Menetapkan jadwal operasional,2.1 Prioritas pengiriman ditentukan. 2.2 Alokasi armada dan personel dijadwalkan. 2.3 Rencana operasional disahkan oleh atasan.,,,,,
Gudang (Warehouse),H.52LOG00.002.2,Melaksanakan Penerimaan Barang,Menyiapkan dokumen penerimaan,1.1 Dokumen pengiriman diperiksa kelengkapannya. 1.2 Daftar cek (checklist) penerimaan disiapkan. 1.3 Area bongkar muat dipastikan siap.,,,,,
Gudang (Warehouse),H.52LOG00.002.2,Melaksanakan Penerimaan Barang,Melakukan verifikasi fisik barang,2.1 Jumlah dan kondisi fisik barang dicocokkan dengan dokumen. 2.2 Barang rusak atau tidak sesuai dipisahkan. 2.3 Berita acara penerimaan ditandatangani.,,,,,
Gudang (Warehouse),H.52LOG00.003.2,Melaksanakan Penyimpanan Barang,Menentukan lokasi penyimpanan,1.1 Karakteristik barang diidentifikasi (suhu/berat/bahaya). 1.2 Lokasi rak/bin ditentukan sesuai sistem (FIFO/LIFO). 1.3 Label lokasi dipasang pada barang.,,,,,
Gudang (Warehouse),H.52LOG00.004.2,Melaksanakan Administrasi Pergudangan,Melakukan pencatatan data barang,1.1 Data mutasi barang dimasukkan ke sistem/kartu stok. 1.2 Dokumen masuk-keluar diarsipkan sesuai prosedur. 1.3 Laporan harian gudang disusun.,,,,,
Gudang (Warehouse),H.52LOG00.005.2,Melakukan Stok Opname,Menyiapkan pelaksanaan stok opname,1.1 Jadwal stok opname ditetapkan. 1.2 Tim pelaksana dibentuk. 1.3 Dokumen daftar stok (stock list) dicetak.,,,,,
Gudang (Warehouse),H.52LOG00.005.2,Melakukan Stok Opname,Mencocokkan saldo fisik dengan saldo buku,2.1 Perhitungan fisik dilakukan secara teliti. 2.2 Selisih stok diidentifikasi penyebabnya. 2.3 Laporan hasil stok opname dilaporkan ke manajemen.,,,,,
Pengiriman (Shipping),H.52LOG00.006.2,Melaksanakan Pengiriman Barang,Menyiapkan barang untuk dikirim,1.1 Barang diambil sesuai order (picking). 1.2 Pengemasan (packing) dilakukan sesuai standar keamanan. 1.3 Label alamat pengiriman ditempelkan.,,,,,
Pengiriman (Shipping),H.52LOG00.007.2,Mengelola Transportasi Logistik,Memilih moda transportasi,1.1 Opsi moda (darat/laut/udara) dibandingkan biayanya. 1.2 Rute perjalanan paling efisien ditentukan. 1.3 Vendor transportasi dipilih berdasarkan kriteria.,,,,,
Pengadaan (Procurement),H.52LOG00.008.2,Melakukan Pembelian Barang/Jasa,Menentukan spesifikasi kebutuhan,1.1 Permintaan pembelian (PR) diverifikasi. 1.2 Spesifikasi teknis barang disusun. 1.3 Anggaran pembelian dipastikan tersedia.,,,,,
Pengadaan (Procurement),H.52LOG00.008.2,Melakukan Pembelian Barang/Jasa,Melaksanakan proses pembelian,2.1 Penawaran harga diminta dari pemasok. 2.2 Seleksi pemasok dilakukan berdasarkan harga dan kualitas. 2.3 Pesanan pembelian (PO) diterbitkan.,,,,,
Manajemen Logistik,H.52LOG00.012.2,Mengelola Biaya Logistik,Memantau pengeluaran biaya,1.1 Biaya tetap dan biaya variabel dikelompokkan. 1.2 Realisasi biaya dibandingkan dengan anggaran. 1.3 Efisiensi biaya diusulkan kepada pimpinan.,,,,,
Manajemen Logistik,H.52LOG00.015.2,Mengelola Hubungan dengan Pelanggan,Menangani keluhan pelanggan,1.1 Keluhan pelanggan dicatat dalam sistem. 1.2 Solusi atas keluhan dikoordinasikan dengan tim terkait. 1.3 Kepuasan pelanggan setelah penanganan diukur.,,,,,
Inventory Control,H.52LOG00.018.2,Menentukan Tingkat Persediaan,Menghitung parameter stok,1.1 Safety stock dihitung berdasarkan fluktuasi permintaan. 1.2 Titik pemesanan kembali (Reorder Point) ditetapkan. 1.3 Rasio perputaran stok (Inventory Turnover) dianalisis.,,,,,
K3 Logistik,H.52LOG00.020.2,Menerapkan K3 di Lingkungan Kerja,Mengidentifikasi potensi bahaya,1.1 Alat Pelindung Diri (APD) digunakan sesuai standar. 1.2 Rambu-rambu keselamatan dipasang di area gudang. 1.3 Prosedur keadaan darurat dipahami oleh seluruh staf.,,,,,
Distribusi,H.52LOG00.022.2,Mengelola Pusat Distribusi,Mengoptimalkan alur barang,1.1 Tata letak (layout) pusat distribusi diatur. 1.2 Proses cross-docking diterapkan jika diperlukan. 1.3 Kecepatan pengolahan pesanan dipantau.,,,,,
Ekspor Impor,H.52LOG00.025.2,Mengurus Dokumen Ekspor-Impor,Menyiapkan dokumen pabean,1.1 Invoice dan Packing List divalidasi. 1.2 Pemberitahuan Ekspor/Impor Barang (PEB/PIB) disiapkan. 1.3 Izin khusus impor diperiksa masa berlakunya.,,,,,
Teknologi Logistik,H.52LOG00.028.2,Mengoperasikan Sistem Informasi Logistik,Memasukkan data ke dalam aplikasi,1.1 User login dilakukan sesuai hak akses. 1.2 Data transaksi diinput secara akurat. 1.3 Backup data dilakukan secara periodik.,,,,,
Manajemen Rantai Pasok,H.52LOG00.030.2,Melakukan Kolaborasi Rantai Pasok,Membangun kemitraan dengan pemasok,1.1 Target bersama dengan pemasok ditetapkan. 1.2 Pertukaran informasi stok dilakukan secara real-time. 1.3 Evaluasi kinerja kemitraan dilakukan secara rutin.,,,,,
Inventory Control,H.52LOG00.018.2,Menentukan Tingkat Persediaan,Menganalisis kebutuhan persediaan,1.1 Data historis pemakaian barang dikumpulkan. 1.2 Tren permintaan pelanggan dianalisis. 1.3 Lead time pengadaan barang diidentifikasi.,,,,,
Inventory Control,H.52LOG00.018.2,Menentukan Tingkat Persediaan,Menghitung parameter stok optimal,2.1 Economic Order Quantity (EOQ) dihitung. 2.2 Safety stock ditetapkan berdasarkan tingkat layanan. 2.3 Reorder Point (ROP) ditentukan.,,,,,
Admin Logistik,H.52LOG00.004.2,Melaksanakan Administrasi Pergudangan,Memproses dokumen pengeluaran barang,2.1 Surat Jalan (Delivery Order) divalidasi. 2.2 Picking list dicetak untuk petugas gudang. 2.3 Status stok diperbarui pada sistem aplikasi.,,,,,
Warehouse Supervisor,H.52LOG00.022.2,Mengelola Pusat Distribusi,Merencanakan tata letak gudang,1.1 Ruang penyimpanan dialokasikan berdasarkan fast/slow moving. 1.2 Jalur transportasi forklift diatur untuk kelancaran alur. 1.3 Area karantina barang rusak ditentukan.,,,,,
Warehouse Supervisor,H.52LOG00.022.2,Mengelola Pusat Distribusi,Mengawasi produktivitas kerja,2.1 Kecepatan proses bongkar muat diukur. 2.2 Akurasi pengambilan barang dipantau. 2.3 Penggunaan peralatan kerja dipastikan sesuai SOP.,,,,,
Logistik Spesialis,H.52LOG00.031.2,Melakukan Analisis Rantai Pasok,Mengidentifikasi aliran nilai (Value Stream),1.1 Titik-titik penambahan nilai diidentifikasi. 1.2 Aktivitas yang tidak bernilai tambah (waste) dipetakan. 1.3 Total lead time rantai pasok dihitung.,,,,,
Logistik Spesialis,H.52LOG00.031.2,Melakukan Analisis Rantai Pasok,Memberikan rekomendasi perbaikan,2.1 Usulan optimasi proses disusun. 2.2 Analisis dampak risiko dilakukan. 2.3 Laporan analisis dipresentasikan kepada manajemen.,,,,,
Purchasing Officer,H.52LOG00.009.2,Melakukan Evaluasi Kinerja Pemasok,Menentukan kriteria evaluasi,"1.1 Parameter kualitas, harga, dan ketepatan waktu ditetapkan. 1.2 Bobot penilaian untuk setiap parameter ditentukan. 1.3 Periode evaluasi dijadwalkan.",,,,,
Purchasing Officer,H.52LOG00.009.2,Melakukan Evaluasi Kinerja Pemasok,Menyusun laporan hasil evaluasi,2.1 Skor kinerja pemasok dihitung. 2.2 Rekomendasi perpanjangan atau pemutusan kontrak dibuat. 2.3 Hasil evaluasi dikomunikasikan kepada pemasok terkait.,,,,,
Operator Logistik,H.52LOG00.019.2,Menangani Barang Berbahaya (B3),Mengidentifikasi jenis barang B3,1.1 Simbol bahaya pada kemasan diperiksa. 1.2 Lembar Data Keselamatan (MSDS) dipelajari. 1.3 Peralatan penanganan khusus disiapkan.,,,,,
Operator Logistik,H.52LOG00.019.2,Menangani Barang Berbahaya (B3),Melakukan penyimpanan barang B3,2.1 Barang disimpan terpisah berdasarkan kelas bahaya. 2.2 Ventilasi dan suhu ruangan diatur sesuai standar. 2.3 Alat pemadam api dipastikan tersedia di dekat lokasi.,,,,,
Logistik Manager,H.52LOG00.040.2,Menyusun Kebijakan Manajemen Rantai Pasok,Menetapkan visi dan misi logistik,1.1 Tujuan strategis perusahaan diidentifikasi. 1.2 Kebijakan layanan pelanggan dirumuskan. 1.3 Target performa jangka panjang ditetapkan.,,,,,
Logistik Manager,H.52LOG00.040.2,Menyusun Kebijakan Manajemen Rantai Pasok,Mensosialisasikan kebijakan,2.1 Kebijakan didokumentasikan secara formal. 2.2 Pertemuan koordinasi antar departemen dilaksanakan. 2.3 Mekanisme kepatuhan terhadap kebijakan ditetapkan.,,,,,
Planner Logistik,H.52LOG00.041.2,Mengelola Perencanaan Permintaan,Mengumpulkan data permintaan,1.1 Data penjualan masa lalu divalidasi. 1.2 Informasi rencana promosi dikumpulkan. 1.3 Input dari tim pemasaran dan penjualan diintegrasikan.,,,,,
Planner Logistik,H.52LOG00.041.2,Mengelola Perencanaan Permintaan,Membuat proyeksi permintaan (Forecast),2.1 Metode peramalan yang sesuai dipilih. 2.2 Angka proyeksi dihitung untuk periode mendatang. 2.3 Akurasi ramalan dipantau secara berkala.,,,,,
Dispatcher,H.52LOG00.007.2,Mengelola Transportasi Logistik,Melakukan penjadwalan armada,2.1 Kapasitas angkut kendaraan dicocokkan dengan volume barang. 2.2 Penugasan pengemudi dilakukan sesuai rute. 2.3 Waktu keberangkatan dan estimasi kedatangan diinput ke sistem.,,,,,
Dispatcher,H.52LOG00.007.2,Mengelola Transportasi Logistik,Melakukan pemantauan perjalanan,3.1 Posisi kendaraan dilacak secara real-time (GPS). 3.2 Kendala di perjalanan (macet/rusak) ditangani segera. 3.3 Status pengiriman diperbarui kepada pelanggan.,,,,,
Kurir/Driver,H.52LOG00.011.2,Melaksanakan Penyerahan Barang kepada Pelanggan,Melakukan konfirmasi kedatangan,1.1 Pelanggan dihubungi sebelum tiba di lokasi. 1.2 Identitas penerima barang diverifikasi. 1.3 Lokasi penurunan barang dipastikan aman.,,,,,
Kurir/Driver,H.52LOG00.011.2,Melaksanakan Penyerahan Barang kepada Pelanggan,Menyelesaikan administrasi penyerahan,2.1 Barang diserahkan sesuai jumlah dokumen. 2.2 Tanda tangan dan stempel penerima diambil (POD). 2.3 Bukti penyerahan diunggah/diserahkan ke kantor.,,,,,
Analyst Logistik,H.52LOG00.035.2,Mengelola Pengembalian Barang (Reverse Logistics),Memproses otorisasi pengembalian,1.1 Alasan pengembalian diverifikasi (rusak/salah kirim). 1.2 Persetujuan retur diterbitkan. 1.3 Instruksi penjemputan barang dikirim ke bagian transportasi.,,,,,
Analyst Logistik,H.52LOG00.035.2,Mengelola Pengembalian Barang (Reverse Logistics),Menentukan disposisi barang retur,2.1 Kondisi barang diperiksa setelah tiba kembali. 2.2 Keputusan diambil (perbaikan/stok ulang/musnah). 2.3 Pencatatan keuangan/kredit note diselesaikan.,,,,,
Operasional Logistik,H.52LOG00.021.2,Melakukan Pengemasan (Packing),Menyiapkan material pengemas,1.1 Jenis kemasan dipilih berdasarkan fragilitas barang. 1.2 Material pelindung (bubble wrap/dunnage) disiapkan. 1.3 Alat potong dan perekat dipastikan berfungsi.,,,,,
